Pfam	domain_name	5mSIPHEX1_0	5mSIPHEX1_1	5mSIPHEX1_10	5mSIPHEX1_11	5mSIPHEX1_13	5mSIPHEX1_15	5mSIPHEX1_18	5mSIPHEX1_19	5mSIPHEX1_2	5mSIPHEX1_25	5mSIPHEX1_26	5mSIPHEX1_32	5mSIPHEX1_33	5mSIPHEX1_37	5mSIPHEX1_8	5mSIPHEX1_9	5mSIPHEX2_10	5mSIPHEX2_14	5mSIPHEX2_16	5mSIPHEX2_18	5mSIPHEX2_25	5mSIPHEX2_3	5mSIPHEX2_5	5mSIPHEX2_7	700mSIPHEX1_0	700mSIPHEX1_1	700mSIPHEX1_12	700mSIPHEX1_15	700mSIPHEX1_17	700mSIPHEX1_18	700mSIPHEX1_2	700mSIPHEX1_20	700mSIPHEX1_3	700mSIPHEX1_8	700mSIPHEX2_13	700mSIPHEX2_14	700mSIPHEX2_16	700mSIPHEX2_21	700mSIPHEX2_22	700mSIPHEX2_23	700mSIPHEX2_24	700mSIPHEX2_9
PF01134	Glucose inhibited division protein A	2	1	1	1	2	2	1	1	1	1	1	2	1	0	2	0	2	1	2	1	1	0	1	2	1	2	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	2
PF21680	tRNA modifying enzyme MnmG/GidA C-terminal helical domain	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1
PF13561	Enoyl-(Acyl carrier protein) reductase	19	12	11	9	14	16	8	7	7	10	1	29	15	11	23	7	17	12	1	10	22	11	5	14	8	20	8	8	9	11	7	10	11	11	11	9	11	8	7	7	8	19
PF13522	Glutamine amidotransferase domain	1	1	2	2	1	1	2	2	2	2	2	1	1	0	2	2	1	2	2	2	2	0	2	1	0	1	2	2	1	2	2	2	2	0	0	1	2	2	3	2	1	1
PF01380	SIS domain	2	2	3	2	2	2	3	3	6	2	2	3	2	1	7	2	2	3	3	2	7	1	3	2	1	3	3	3	3	4	5	2	3	1	1	3	4	3	5	3	2	2
PF05378	Hydantoinase/oxoprolinase N-terminal region	2	3	0	1	1	0	1	1	0	1	0	0	0	0	3	0	1	0	0	1	4	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
PF01968	Hydantoinase/oxoprolinase	2	4	0	1	1	0	1	1	0	1	0	0	0	0	3	0	1	0	0	1	5	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
PF00072	Response regulator receiver domain	30	15	67	41	24	24	47	45	26	41	18	39	23	37	33	52	27	73	16	41	29	39	46	24	24	41	35	54	34	81	72	41	67	24	24	34	81	54	75	35	38	38
PF00486	Transcriptional regulatory protein, C terminal	6	5	12	10	9	7	4	6	6	11	2	9	7	9	9	11	5	15	2	13	7	9	6	9	8	14	5	6	3	15	10	10	12	7	7	3	15	6	13	5	7	12
PF01351	Ribonuclease HII	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF05099	Tellurite resistance protein TerB	4	2	2	2	3	4	1	2	2	2	0	2	2	3	4	1	4	2	0	2	4	3	2	3	2	3	1	2	1	2	2	2	2	3	3	1	2	2	2	1	2	3
PF04290	Tripartite ATP-independent periplasmic transporters, DctQ component	14	9	10	3	7	1	2	2	1	3	0	3	2	8	25	2	14	10	0	4	15	8	2	7	7	9	0	2	0	2	0	3	10	8	8	0	2	2	0	0	2	9
PF06199	Phage tail tube protein	2	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	2	0	0	0	1	1	0	1	2	2	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	2
PF02653	Branched-chain amino acid transport system / permease component	17	13	19	6	12	0	3	5	0	4	0	0	0	18	20	0	14	19	0	3	17	18	5	12	11	24	0	4	1	0	0	3	19	10	10	1	0	4	0	0	1	23
PF01979	Amidohydrolase family	10	5	11	3	8	7	2	4	7	5	4	10	6	4	16	8	10	11	4	6	16	4	6	8	7	8	11	2	7	11	7	3	11	1	1	7	10	2	7	11	3	9
PF00449	Urease alpha-subunit, N-terminal domain	1	1	1	0	1	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PF04280	Tim44-like domain	1	1	0	0	1	1	0	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1
PF02308	MgtC family	1	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0
PF05698	Bacterial trigger factor protein (TF) C-terminus	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF05697	Bacterial trigger factor protein (TF)	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase	1	1	7	5	2	4	6	6	6	5	2	3	2	1	2	4	1	6	2	4	2	1	4	2	1	1	3	6	4	5	6	5	6	1	1	4	5	6	5	3	5	1
PF00004	ATPase family associated with various cellular activities (AAA)	7	7	8	11	6	10	7	10	7	11	3	6	6	5	12	6	6	9	4	12	9	5	9	6	6	7	7	9	6	8	7	12	8	4	3	6	8	9	7	7	6	7
PF00459	Inositol monophosphatase family	5	3	3	2	4	5	2	2	1	2	0	4	3	2	6	2	5	3	0	2	6	2	2	4	3	5	1	2	0	3	3	2	3	1	1	0	3	2	3	1	2	5
PF06347	Bacterial SH3 domain	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1
PF13704	Glycosyl transferase family 2	4	1	0	0	6	0	0	1	0	0	0	0	0	8	4	0	4	0	0	0	5	8	1	6	3	4	0	1	0	0	0	0	0	6	6	0	0	1	0	0	0	4
PF02954	Bacterial regulatory protein, Fis family	4	4	13	4	5	5	5	7	5	5	1	5	3	4	8	8	4	13	1	5	6	4	8	5	2	7	2	6	2	10	7	5	13	3	3	2	10	6	7	2	8	7
PF00158	Sigma-54 interaction domain	4	2	13	3	2	4	5	5	5	3	1	4	2	3	3	10	3	13	2	3	3	3	5	2	2	4	3	5	4	13	9	3	13	2	2	4	13	5	9	3	9	4
PF00313	'Cold-shock' DNA-binding domain	3	2	5	5	3	3	4	3	5	5	3	3	3	4	4	1	3	6	2	5	4	3	3	3	2	3	2	4	4	3	3	4	5	4	4	4	3	4	3	2	4	3
PF05239	PRC-barrel domain	6	2	1	1	1	1	1	1	1	2	0	3	2	0	2	1	6	1	0	2	1	0	1	1	4	3	0	1	1	1	2	1	1	0	0	1	1	1	2	0	1	3
PF03668	P-loop ATPase protein family	1	0	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	2	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1
PF00149	Calcineurin-like phosphoesterase	7	4	9	5	3	2	4	6	4	7	4	4	3	2	8	4	6	10	6	9	6	1	6	3	8	6	5	6	5	5	6	8	9	1	1	5	5	6	6	5	5	6
PF09550	Phage tail assembly chaperone protein, TAC	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PF00108	Thiolase, N-terminal domain	4	5	11	9	5	4	3	5	5	8	2	7	5	7	9	3	4	11	2	7	7	7	5	5	4	5	3	5	2	4	4	8	11	6	6	2	4	5	5	3	5	5
PF02803	Thiolase, C-terminal domain	4	5	11	9	5	4	3	5	5	8	1	6	5	7	9	3	4	12	2	7	6	7	5	5	3	5	3	5	2	4	4	8	11	6	6	2	4	5	5	3	5	5
PF03918	Cytochrome C biogenesis protein	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	0	1	0	1	1	1	2	0	0	0	1	1	1	0	2	1
PF00034	Cytochrome c	10	6	3	0	9	4	2	2	2	1	2	5	2	3	10	1	10	3	2	1	10	3	1	9	6	1	3	3	2	4	2	1	3	3	3	2	4	3	2	3	0	1
PF00116	Cytochrome C oxidase subunit II, periplasmic domain	2	1	1	2	1	1	0	0	1	2	0	2	0	1	1	1	2	1	0	2	1	1	0	1	2	2	0	0	0	2	1	2	1	1	1	0	2	0	1	0	0	3
PF01619	Proline dehydrogenase	1	1	2	0	1	1	0	1	1	0	1	1	1	0	1	1	1	2	0	0	1	1	0	1	1	1	1	0	1	1	1	0	2	0	0	1	1	0	1	1	2	1
PF18327	Proline utilization A proline dehydrogenase N-terminal domain	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	0	0	1	0	1	0	2	0
PF14850	DNA-binding domain of Proline dehydrogenase	1	1	2	0	1	1	0	1	1	0	0	1	1	0	1	1	1	2	0	0	1	1	0	1	1	1	0	0	0	1	1	0	2	0	0	0	1	0	1	0	2	1
PF01266	FAD dependent oxidoreductase	8	19	9	6	19	3	5	3	5	4	3	4	4	9	25	1	8	9	2	3	25	8	3	19	12	9	3	4	2	2	3	4	9	5	5	2	2	4	3	3	6	8
PF04851	Type III restriction enzyme, res subunit	2	1	4	3	1	2	5	4	1	1	0	1	1	0	3	1	2	4	1	4	1	0	3	1	0	1	2	5	2	3	3	2	4	0	0	2	3	5	2	2	4	1
PF14890	Intein splicing domain	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00271	Helicase conserved C-terminal domain	11	6	14	16	10	11	14	17	13	16	9	9	8	5	13	8	11	15	9	18	10	5	13	10	5	11	13	20	14	18	19	15	14	2	2	14	18	20	18	13	10	11
PF03737	Aldolase/RraA	4	0	1	1	0	0	1	1	1	1	0	0	0	0	1	1	4	1	0	1	1	0	1	0	1	1	0	1	0	1	2	1	1	0	0	0	1	1	2	0	1	0
PF04198	Putative sugar-binding domain	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
PF02625	XdhC and CoxI family	1	2	3	0	2	1	0	1	0	0	0	0	0	2	6	1	1	3	0	0	4	2	1	2	2	1	0	0	1	1	1	0	3	1	1	1	1	0	1	0	1	1
PF13478	XdhC Rossmann domain	2	2	3	0	2	1	0	1	0	0	0	0	0	2	5	1	2	3	0	0	4	2	1	2	1	1	0	0	1	1	1	0	3	1	1	1	1	0	1	0	1	1
